# X,Y,Z,HeatFlux
770.3624471029,242.3034718831,-1571.7919108073,0.0000000000
770.9061686198,238.1040547689,-1572.1208089193,0.0000000000
770.6955362956,241.3222096761,-1571.7919108073,0.0000000000
770.3860677083,239.5423583984,-1572.1327311198,0.0000000000
771.8397623698,240.6429341634,-1571.4510904948,0.0000000000
772.8390299479,237.6991475423,-1571.4510904948,0.0000000000
771.5487263997,238.9026438395,-1571.7799886068,0.0000000000
773.8383178711,234.7553660075,-1571.4510904948,0.0000000000
773.6974283854,232.4789174398,-1571.7919108073,0.0000000000
772.3739217122,231.0150960286,-1572.4709472656,0.0000000000
774.8376057943,231.8115793864,-1571.4510904948,0.0000000000
773.3643391927,233.4601796468,-1571.7919108073,0.0000000000
772.5480143229,235.9588623047,-1571.7799886068,0.0000000000
767.0571492513,220.9629923503,-1575.7268880208,0.0000000000
771.5723673503,236.1415354411,-1572.1208089193,0.0000000000
772.0556030273,234.6241149902,-1572.1327311198,0.0000000000
765.1847737630,218.6859130859,-1576.7136637370,0.0000000000
764.1855061849,221.6296946208,-1576.7136637370,0.0000000000
765.4758097331,220.4261983236,-1576.3847249349,0.0000000000
763.3124186198,216.4088389079,-1577.7003987630,0.0000000000
761.4400838216,214.1317596436,-1578.6870930990,0.0000000000
760.4407958984,217.0755411784,-1578.6870930990,0.0000000000
761.7310994466,215.8720448812,-1578.3581949870,0.0000000000
761.3138631185,222.2964019775,-1577.7003987630,0.0000000000
759.4415079753,220.0193277995,-1578.6870930990,0.0000000000
758.4422200521,222.9631093343,-1578.6870930990,0.0000000000
759.7325236003,221.7596130371,-1578.3581949870,0.0000000000
760.7318115234,218.8158315023,-1578.3581949870,0.0000000000
762.6041666667,221.0929056803,-1577.3715006510,0.0000000000
763.6034342448,218.1491241455,-1577.3715006510,0.0000000000
762.3131306966,219.3526204427,-1577.7003987630,0.0000000000
760.1774495443,212.1072184245,-1579.4143880208,0.0000000000
756.6960652669,212.5213877360,-1580.6604817708,0.0000000000
758.0537719727,210.4440561930,-1580.4171142578,0.0000000000
754.1262410482,209.8710123698,-1581.9547119141,0.0000000000
753.8244222005,213.1881001790,-1581.6472574870,0.0000000000
751.9520670573,210.9110209147,-1582.6339925130,0.0000000000
750.9527791341,213.8548075358,-1582.6339925130,0.0000000000
752.2430826823,212.6513112386,-1582.3050944010,0.0000000000
752.4631347656,209.7015635173,-1582.5965169271,0.0000000000
755.1147257487,211.9845987956,-1581.3183186849,0.0000000000
755.5296020508,210.6359965007,-1581.3343505859,0.0000000000
758.5961100260,211.5704243978,-1580.0721842448,0.0000000000
753.6982421875,221.3527425130,-1580.6604817708,0.0000000000
751.8258870443,219.0756632487,-1581.6472574870,0.0000000000
752.2597452799,222.6655019124,-1581.0308430990,0.0000000000
753.9937337240,222.6271616618,-1580.3889160156,0.0000000000
749.9535115560,216.7985890706,-1582.6339925130,0.0000000000
